,sentiment
5669,1
2761,2
24532,2
1861,1
9699,2
16428,1
6711,1
2795,1
11082,1
19435,1
11430,2
16342,2
16706,2
2743,2
22812,1
11198,2
21131,1
16164,1
2291,2
2983,1
15697,1
13655,2
7409,1
3181,2
10825,2
12566,1
6004,2
2277,1
11258,1
8553,1
12651,2
12323,2
14661,2
22914,2
13134,1
8411,1
20914,2
12376,2
1300,1
12302,1
1142,2
22774,1
23694,2
17468,1
1331,1
4212,1
3140,1
1797,2
413,1
18050,2
19481,2
2153,1
10434,2
8837,1
4073,2
823,2
8416,2
21339,2
11942,2
14563,1
16778,1
10636,2
24326,1
3196,1
2936,1
6543,2
702,1
20281,1
24124,2
10928,2
20624,2
2721,1
22033,1
174,2
4905,2
5695,2
9263,1
4498,2
22894,1
8599,1
20273,1
14640,2
22840,1
10016,1
6370,1
2144,1
9840,2
4726,2
2764,2
426,2
15211,2
11501,2
23081,2
15122,2
7227,1
20965,2
7449,2
3737,2
19655,2
4034,2
23880,2
12076,1
24311,1
22483,2
2055,2
16589,1
22403,1
24708,1
21190,1
20850,2
17146,1
18265,2
4522,2
3677,1
23494,1
16020,1
2593,2
22260,1
10053,1
16827,2
20582,2
10510,2
4011,2
6251,2
24361,1
2864,2
4288,1
12982,2
6901,2
13802,1
12636,1
21347,1
4480,1
16516,1
21656,1
7295,2
13342,2
17336,1
13579,1
12992,2
14426,1
21387,1
20396,2
22346,1
10594,1
8796,2
4688,1
15184,2
22955,2
3580,2
15975,1
24077,2
19812,1
6015,1
13316,2
14813,1
7316,1
10109,2
1036,2
22236,2
20522,2
4107,1
21055,1
15344,1
21063,1
22333,1
2810,2
21503,2
22753,1
5750,2
12365,2
16581,1
22799,2
2318,2
20413,2
2716,1
763,1
14821,2
4451,2
13818,1
18685,2
2457,1
7079,1
14938,2
21010,2
3779,2
3088,2
18406,1
8024,2
14382,1
5328,2
21101,1
14174,1
17566,2
10073,2
5014,1
4628,1
19717,2
6992,2
9256,2
5854,2
16914,1
16311,2
6552,1
3500,1
12853,2
5061,2
17067,2
16149,2
613,1
14403,1
11935,2
8157,2
8725,2
810,1
8447,1
18732,1
1878,1
14698,1
658,1
5385,1
19536,1
16252,2
8166,1
5144,2
23071,2
6185,2
2104,2
23783,1
15152,1
17114,1
4397,1
23717,1
24102,2
10922,2
13779,1
13291,1
13671,1
14160,2
12430,1
17846,2
11880,1
3407,2
4307,2
19802,1
11930,2
743,2
17087,2
18541,1
14857,1
1671,2
17277,1
15249,2
22699,2
4557,2
7043,2
1284,2
1568,1
11235,2
3369,2
2030,1
11432,2
21944,2
9693,2
585,1
19263,1
11655,2
3522,1
20163,1
1194,2
5759,1
9403,2
1303,1
20638,2
21187,2
24065,2
20405,2
2985,2
9733,1
12103,1
7733,2
4997,1
9470,2
23009,2
368,1
9218,1
16179,2
21786,2
592,1
7505,2
1961,1
3185,2
17060,2
17433,2
442,1
11438,2
1249,1
1424,2
4969,2
1930,1
4906,2
9812,1
9514,1
10281,2
12030,2
21483,1
2705,1
6618,1
7300,1
24626,2
12744,2
10730,1
7534,2
2553,1
3595,2
553,1
10512,2
21872,2
371,2
7640,1
15281,2
3744,2
8492,1
16594,1
24050,2
5218,2
12003,2
23709,2
4263,1
9934,2
3133,1
2467,2
6570,1
464,2
10514,1
18532,1
3244,1
20260,2
15121,1
730,2
18201,2
5652,1
15192,1
14638,2
15031,2
3564,1
8032,1
22872,1
19005,1
16762,2
10782,1
12718,2
20385,2
4450,2
12801,2
8271,2
17504,1
18657,1
11968,1
3320,1
7214,2
13018,2
5784,2
13851,1
1769,2
8740,1
11139,1
5251,2
2409,1
15617,2
11746,2
11150,2
24280,2
4729,1
23373,2
15402,1
20432,2
9398,1
11057,2
23157,2
11348,1
22427,1
20404,2
12580,2
13757,1
7173,1
14110,2
5449,1
17524,2
8185,1
4259,1
11611,2
12251,2
2389,1
336,1
22526,1
11021,1
3359,1
12987,2
23771,2
15733,2
12905,2
19265,2
16423,1
7836,2
21047,2
22469,2
2799,2
8547,2
12094,2
19820,2
6121,2
21796,1
9449,2
20315,2
15061,2
6069,2
18775,2
10181,1
19273,1
22836,1
19963,2
21113,2
18151,1
17948,1
1999,2
20677,1
2000,1
5612,1
10071,2
6245,2
19827,2
14438,2
1781,1
21009,2
24106,2
24177,1
22445,2
24652,2
2765,2
3262,1
12321,2
21493,2
16725,2
6199,1
15096,1
8556,2
11118,1
23729,1
11912,1
8824,2
14215,1
16048,2
21674,2
22611,2
23446,1
14617,1
12554,2
10184,1
219,2
16764,2
8148,2
8617,1
13365,1
20093,1
13238,2
8779,1
4367,1
15953,2
21809,1
22735,1
156,2
10214,1
19175,1
8908,1
11550,1
13926,2
22063,2
13374,1
20517,1
20487,1
9689,1
20048,2
21168,2
3259,2
4717,2
996,2
23010,2
6725,1
19782,2
3774,2
3408,2
7841,1
5178,2
11053,2
3791,2
22109,1
20581,2
10153,2
13447,1
1371,1
15614,1
17572,1
3535,1
4575,2
13796,1
21551,2
15648,2
21139,1
13332,1
10220,2
16522,2
7584,2
20333,2
12483,2
6372,2
20377,2
18225,2
20064,1
3863,1
18553,2
57,1
12532,1
21706,1
8403,2
5384,2
17127,1
18572,2
17037,2
4948,2
1782,1
6850,2
836,1
17348,1
5526,2
4333,1
23715,2
929,1
13933,1
21052,2
11867,2
6088,2
15183,2
2951,1
11353,1
5866,1
23113,2
16923,1
10457,1
14658,1
24293,1
9358,1
8666,1
20870,2
5290,1
15671,1
12243,1
23699,1
21681,1
22319,2
18416,1
10935,2
12352,1
9735,2
20158,1
11308,1
24246,2
15417,1
12925,1
11483,1
17183,1
24710,2
16590,1
9293,1
859,1
6362,2
6350,1
14835,1
4718,1
19354,1
6120,1
18995,1
302,2
10517,1
1884,1
23369,1
11137,1
925,1
16329,2
1403,2
15827,2
3794,2
11684,1
4004,2
22044,1
15000,1
21005,2
3635,2
23720,1
9312,1
14656,2
5809,2
2385,2
11770,1
22556,2
1337,2
11233,1
2882,2
21109,1
8280,2
18097,1
6098,1
22326,1
13013,2
20559,1
2161,2
13305,2
24474,1
2996,1
5155,1
15572,1
20239,2
20500,2
14225,2
4169,2
12446,1
