,sentiment
24188,1
8007,2
6320,2
24536,2
7942,2
13192,1
23075,2
18531,2
9173,1
4339,2
6592,2
22953,2
17198,1
20629,2
9984,1
678,2
3812,1
22413,2
11245,2
10660,1
21236,1
6698,1
24504,2
17260,1
5848,2
12232,1
15194,2
5283,1
11257,1
3423,2
13913,1
212,2
6204,2
23000,2
14413,2
11150,2
12696,1
12228,2
16045,2
15631,2
16380,1
7733,2
8746,2
8696,1
11250,2
14168,1
14473,2
13430,2
13957,2
24555,1
4579,1
19475,2
20558,1
17100,2
10407,1
7941,1
5296,1
6685,2
13435,1
22920,2
3730,2
24087,2
3710,1
10639,1
17656,2
14145,2
22235,2
10202,1
5694,2
962,1
20097,2
7511,2
5936,2
12961,1
4745,2
8970,2
9566,2
7621,1
19994,2
5971,2
10910,1
13037,1
16618,1
21600,2
2302,1
11365,1
9528,2
23625,2
4362,2
15230,1
22359,1
21490,1
10024,1
7284,1
6999,2
18664,1
135,1
5537,1
515,2
4130,2
4518,1
20249,1
5899,1
6617,1
11809,1
23079,2
1179,1
4273,2
2671,1
20177,2
10678,2
18917,1
14937,2
16519,2
13890,1
7531,1
14256,2
14767,2
9313,1
9758,2
10431,1
12484,1
10835,2
12351,2
18506,2
14266,1
18434,2
1278,1
8069,2
10428,1
15624,2
16864,1
24030,2
21766,2
9720,1
17524,2
18248,1
18866,1
12141,1
3376,1
17651,2
21510,2
16609,2
20060,1
8152,2
1683,2
20108,1
20534,1
16564,1
7810,1
8669,1
22016,2
5595,2
6871,1
15415,2
15902,1
15817,2
15761,1
12078,2
19204,2
4241,1
23953,1
18532,1
9109,1
3418,2
17340,1
211,2
17098,2
10517,1
22569,1
6697,1
13955,1
4862,2
3782,1
19547,1
4525,2
8357,2
21020,2
12487,2
2260,2
8839,1
5445,1
11918,1
23471,1
8183,1
9305,1
22536,2
24795,2
18766,1
12657,2
20412,1
10999,1
17526,1
24047,2
13127,2
14794,2
19623,1
14220,1
14322,1
7860,2
2018,1
11692,2
22883,2
6538,2
14898,1
16016,1
3753,2
12286,2
5421,1
11422,1
12842,2
11494,2
22704,2
1680,1
19337,2
23941,1
14752,1
2969,1
358,1
3666,1
20192,1
23547,2
23138,1
1224,1
14211,2
21921,2
32,1
19134,1
6727,1
8954,1
23860,1
22109,1
4510,2
16875,2
17391,2
425,1
3340,1
18114,1
20081,1
23783,1
5190,1
20497,2
14580,2
4012,1
23016,2
14479,2
13801,1
22463,2
7417,2
6837,2
5052,1
16620,1
18950,2
10377,2
9006,1
6874,1
8436,1
21311,1
16449,2
6434,2
24455,1
14592,1
10311,1
7032,2
18163,2
4211,1
10973,2
5762,1
9619,2
5538,1
15942,2
7204,2
21804,1
21360,2
5324,1
8594,2
12618,1
12718,2
16372,2
10029,1
17768,1
24571,2
497,2
18308,2
16889,2
3216,2
12896,2
23023,2
14554,2
21325,1
5546,1
7137,2
23137,2
4642,2
11680,1
4722,1
2470,1
7852,2
22530,2
977,1
3869,1
445,1
14659,1
12578,2
19702,1
23767,1
20905,1
19580,1
21772,1
18215,2
20668,1
11173,1
401,2
18029,1
10796,2
4799,1
21734,2
7738,2
2487,1
16790,1
15607,2
6005,2
11048,2
24114,1
3842,2
3786,2
9671,2
6987,2
16549,2
23793,2
12310,2
16495,2
15860,1
2389,1
9035,2
15580,1
20087,1
11295,2
3998,2
16032,1
24527,2
16033,2
23674,2
7990,2
18693,2
21870,1
19810,2
19321,2
5967,2
20986,2
5447,1
20763,1
8079,1
18924,2
3909,2
1689,1
12048,1
18953,1
16917,2
19793,1
548,1
15155,2
17326,2
3664,1
5854,2
11772,1
11116,1
11355,1
20084,1
11087,2
6827,2
27,2
10538,1
15093,2
7222,2
12028,2
13175,1
23516,2
20872,1
17142,2
9147,1
23,1
10865,2
20591,1
20618,2
12953,1
9655,2
724,1
4100,2
13684,2
22730,2
20887,2
20749,2
19841,1
14129,2
16999,2
8526,2
7615,2
21445,2
6240,1
11481,1
24463,2
21694,1
22208,2
11380,2
4741,1
24772,2
13069,2
9626,2
6945,2
869,2
23722,1
946,1
12137,1
10315,1
22959,1
6948,1
22372,2
4725,1
5418,2
2931,1
14765,1
20718,2
18862,2
3725,2
4033,1
20961,2
16100,1
51,2
10042,1
6269,2
1049,2
24497,1
1451,2
11306,2
4040,2
13156,2
9532,1
1759,1
10890,1
3946,2
2918,1
9396,2
18092,1
5338,2
24309,2
5082,1
3488,1
644,1
23434,2
13960,1
2339,2
8281,1
20880,2
17237,1
16057,1
14172,2
16644,1
9022,1
1923,2
5735,2
17443,2
21043,1
17801,2
19259,1
15549,2
11349,2
9486,1
14226,2
24310,2
3390,2
9,1
16134,2
5711,2
8768,1
8992,1
19278,1
6161,2
10817,1
12184,2
24361,1
5813,2
19368,1
16066,1
14031,1
11669,1
7487,2
24396,1
18777,1
2824,1
5492,2
5015,2
17581,1
15269,2
3917,1
9364,2
566,2
22563,1
12648,2
21437,2
21669,1
864,2
17718,1
7081,1
14757,2
11405,1
24337,1
7199,1
6114,2
22955,2
13346,2
22892,2
21702,2
16384,2
21727,2
16399,2
18627,1
6660,1
5098,1
16048,2
23737,2
20857,2
509,1
9338,1
9429,1
20046,2
16627,2
24157,1
11348,1
17572,1
17229,1
2769,2
18876,2
22758,2
1157,2
9430,2
18775,2
13906,2
1833,2
5261,1
1998,1
10985,1
19331,1
8112,2
1757,1
6798,2
6542,2
702,1
15829,2
13863,1
15801,2
3370,1
14235,2
9264,2
23142,1
9632,1
6043,1
12010,1
14601,1
21949,1
15880,1
2086,1
23156,1
9504,1
2107,1
17383,2
20358,1
14853,1
21050,2
14890,2
5683,2
562,1
9375,1
3676,1
12491,1
19276,2
8303,1
1079,2
11020,2
22209,2
17038,1
18681,1
6048,1
12239,2
20909,1
13639,1
14162,2
5337,1
22819,2
9475,1
9555,2
23984,2
1483,1
15699,2
21703,2
5089,1
2186,2
19401,1
1101,1
11676,2
19725,2
5587,2
18595,2
16678,2
79,1
14252,2
8124,1
9899,2
13891,2
12129,2
10303,1
6736,2
12205,1
9768,2
10241,2
12872,1
8165,1
16225,2
21657,2
16713,1
4434,2
22484,1
6212,2
11545,1
16829,1
17736,1
2712,2
12143,2
13881,2
3674,1
6993,1
1449,1
6631,2
24307,2
18011,1
7902,2
21858,2
22864,1
15505,2
7935,2
3593,2
7864,2
7091,1
18310,2
23417,1
20171,1
17730,2
14335,1
1282,2
13936,2
10172,2
668,2
22820,2
4813,2
4721,1
24511,1
9603,1
19554,1
10706,2
16623,1
23476,2
21645,1
11164,2
1933,2
2843,1
403,2
11308,1
16329,2
11293,1
21812,2
11487,1
18148,1
15636,2
3554,2
13168,2
2340,2
23342,1
18945,1
5610,1
3954,1
15287,2
15201,2
16046,1
22739,1
8537,2
16851,1
13218,1
7162,2
1675,1
18191,2
6280,2
12564,2
19612,2
24244,2
18196,2
24611,2
19706,1
8560,1
15322,1
22583,2
18635,1
3167,1
8231,2
5638,2
5627,1
7883,1
15392,2
10953,2
24184,1
588,1
8786,2
18672,2
2456,1
392,1
3298,2
16361,2
7494,2
12793,2
14007,2
21776,1
1200,2
16898,2
12436,2
5497,1
12052,2
11653,2
7058,2
10984,1
15945,2
16956,2
5843,1
19005,1
23411,1
1658,2
17474,2
17980,1
23175,2
2328,1
23853,1
15489,1
5170,2
20075,1
5795,1
7862,1
154,2
24443,2
6388,1
2272,2
22853,2
8739,2
21299,1
5225,2
7432,2
24207,2
3294,1
10109,2
23181,2
14453,1
576,1
9452,1
17716,2
20994,2
18667,1
20311,1
7375,1
3796,1
11156,2
15121,1
7719,1
14040,2
13198,1
18087,2
23620,1
19545,1
24677,1
21489,2
8868,2
14688,2
7969,2
15910,1
11634,2
15926,1
24359,1
1220,2
24765,2
24384,2
24312,1
166,2
22460,2
12546,2
21091,2
19242,1
7993,2
10225,2
23074,2
2221,1
1333,2
23665,2
9039,1
1456,2
10320,2
18746,1
15449,1
20738,1
15464,1
16920,2
1879,2
17948,1
23263,2
14883,1
1855,1
24569,2
22142,1
4099,2
23335,1
10809,2
15732,2
11238,2
14664,1
5472,1
18334,1
15849,2
7497,2
10919,2
11354,2
10516,2
22841,1
2265,1
20320,2
16560,1
2176,1
13451,1
10521,2
4276,2
12056,2
7016,2
22455,2
22714,1
12502,1
600,1
21146,2
5316,1
14724,2
7334,2
16430,1
19748,2
23834,2
13777,2
14510,2
1612,1
8609,1
14210,2
21085,1
3643,2
16642,2
18286,2
15567,2
4449,1
12759,2
18783,1
16359,1
3811,1
24614,2
15834,1
4760,1
24518,1
16764,2
20283,2
11562,2
5175,1
316,1
22640,1
7606,1
20446,1
6178,1
23437,2
14974,1
18858,2
22475,2
165,1
4110,1
23633,2
22642,2
21060,2
3623,1
20974,1
18760,2
9849,1
5938,2
16391,1
19642,2
8965,1
15507,2
7526,2
3116,1
9679,1
1096,2
18166,2
23090,1
11019,2
5947,2
5601,1
21529,1
18044,1
11105,1
764,2
11240,1
17850,1
12320,2
24754,1
6998,2
9560,1
1240,1
4478,2
15641,2
6896,2
15669,1
22993,2
306,2
20608,1
4921,1
23708,1
12172,2
20016,2
24710,2
2722,2
1928,1
17176,2
21174,2
24193,1
9577,1
16298,1
5209,1
13750,2
15128,2
10962,2
12966,2
8004,1
22476,1
7467,2
22998,2
17049,1
688,1
15196,2
6762,1
911,1
1400,1
1980,1
8658,1
19219,2
3962,1
6925,2
2599,2
23325,2
10205,2
4941,2
19159,2
24018,1
7557,1
24117,2
24702,2
2971,2
16510,2
12771,2
21396,2
21309,1
9989,2
16626,2
4137,1
6247,1
2526,2
1363,1
14270,1
4368,2
18646,1
10379,1
24764,1
9982,1
11337,2
4171,2
5556,1
894,1
14014,2
6052,2
6756,1
22706,2
20701,2
14472,2
14303,2
15591,2
8511,1
23326,1
7231,1
17218,2
20596,1
8635,2
15898,1
6034,1
4743,2
17128,2
2115,1
7217,1
24598,1
2133,2
9825,2
11450,2
12552,2
8437,1
11569,2
11231,1
10299,1
20088,2
18630,2
1028,2
13206,1
1209,1
16866,1
8333,1
2691,1
9972,2
7209,1
2042,2
2100,1
152,2
22416,1
20074,2
2965,2
6920,1
5253,2
17687,2
23649,1
24331,1
9774,1
1380,2
2345,1
1517,1
22974,2
24031,2
7579,2
3748,2
21612,1
22607,2
16374,2
1056,2
6868,2
20615,2
18570,2
9436,2
15034,1
4580,1
8184,1
22196,2
3323,2
9511,1
625,2
5342,2
13675,1
9154,1
5744,1
16773,2
12858,1
4488,1
3203,2
20203,2
1159,2
13873,1
23185,2
15016,1
23209,1
14568,2
340,2
13709,2
18556,1
14919,2
12960,2
11339,1
16345,2
17287,1
17291,1
22221,2
761,1
3226,1
16332,1
6936,2
14640,2
2926,1
19163,2
10615,1
10166,1
21655,2
11182,2
15323,2
5387,2
21207,2
9113,2
21860,1
3101,2
15344,1
21339,2
18971,2
19245,2
22711,1
1942,1
10778,1
2031,2
13080,1
13064,1
3475,2
14681,2
12954,1
13672,1
5070,2
225,2
20310,2
22060,2
3809,2
19886,1
21954,2
14821,2
9330,1
6796,2
10781,2
10386,1
20815,2
1023,2
6618,1
7361,1
11697,1
24681,1
5532,2
8469,1
277,1
23678,1
15417,1
16517,1
2216,2
15306,1
15325,1
23902,2
4601,2
14045,2
18340,1
19183,2
12040,1
23992,1
89,2
444,1
8572,2
20606,2
2336,1
11647,1
21764,2
12018,2
5415,2
21538,1
8604,2
3368,1
10316,2
14903,1
792,2
21175,1
17991,2
15493,1
4014,2
12875,2
23449,2
1185,1
7073,2
20582,2
20856,2
7259,1
20276,1
17509,2
16069,1
17983,2
5350,2
22881,2
3451,1
10659,2
17349,2
16966,1
18069,2
234,1
9981,2
22924,2
2644,2
18318,1
3426,2
4208,1
19387,2
8191,2
24477,1
3831,1
15588,1
24490,2
15921,2
5465,2
1184,1
9129,1
15835,2
20559,1
18516,2
7625,1
21316,2
2182,2
5873,1
2953,2
9400,1
13378,2
3772,1
686,1
18453,2
16531,2
1013,1
2003,1
18572,2
1486,2
2695,2
886,1
3788,2
3175,1
843,1
9253,2
3058,2
9244,2
7393,2
23397,2
22230,1
4531,1
22361,1
15027,1
2241,1
19428,1
23717,1
3281,2
20051,1
41,1
9657,2
22133,2
14155,2
8915,2
14338,1
17903,2
4649,2
9837,2
7952,2
14426,1
14971,1
4568,1
4566,2
11781,1
2112,1
2853,2
11137,1
7788,2
6737,1
18204,1
3043,1
11542,2
6516,1
7881,1
2175,2
4314,2
15380,2
14329,1
5244,1
24637,1
21017,2
13635,1
10221,1
12113,2
12459,2
8050,2
11603,2
24741,2
2504,1
16389,2
24139,2
2877,1
13371,1
7709,2
16632,2
17613,2
18536,2
9019,2
12339,2
16024,2
24387,2
2834,1
3106,2
22141,2
16163,2
13894,2
18998,1
17200,1
5080,2
24243,2
1885,1
22150,2
8824,2
21145,2
3921,2
11288,2
1512,2
18582,1
11165,1
5129,2
22549,1
6287,2
9654,1
22872,1
16325,2
16159,1
14072,1
6923,1
18618,1
8938,2
11639,1
24493,2
271,1
21082,2
17566,2
23372,2
3631,1
18003,2
12655,2
8628,2
2366,2
10460,2
21318,1
13313,2
13697,1
9536,1
18410,1
1552,2
5157,1
11645,1
9163,1
8501,2
18611,1
819,2
1580,2
17045,2
8156,1
1415,2
5653,2
447,2
10152,1
7919,1
1084,2
12603,1
2009,1
20254,2
15400,1
23108,1
10336,1
20886,2
17363,1
19560,1
8402,1
10692,1
20168,2
14834,2
22500,2
19335,2
22181,2
12804,1
20789,2
19288,1
19420,2
15998,2
10710,2
2457,1
22147,1
172,1
3146,1
16611,1
9135,2
13166,1
17889,1
3185,2
8284,2
17904,1
4263,1
6942,1
9756,1
565,1
11256,1
11142,1
5426,2
5596,2
9784,2
15912,2
12219,2
22394,1
13437,1
13769,2
12272,1
16056,1
11436,1
9336,1
18338,2
21166,1
7632,1
3053,1
4259,1
20702,1
22524,2
267,1
23037,2
14334,2
19376,1
20125,2
454,1
503,1
14742,2
13642,1
7029,1
18249,2
2846,1
21656,1
18184,1
14847,1
21167,1
9965,2
22553,2
7345,1
20717,2
22587,1
6630,1
16807,1
16822,1
676,1
21918,1
8748,1
2223,2
6374,1
4286,1
10239,2
13283,1
4223,2
20221,1
13302,1
8569,1
6201,2
22292,2
10494,1
13223,1
20334,2
3865,2
23924,1
3425,2
7069,2
8767,1
14637,1
264,1
21892,2
7541,1
327,1
8577,1
2485,2
2215,2
3078,1
13889,2
16735,2
4195,1
15798,1
11128,1
1136,2
24201,2
21328,1
14120,2
12649,1
16475,1
19181,2
13706,2
12675,2
22145,2
24579,1
1156,2
22317,2
21503,2
1260,2
9162,2
12092,2
13146,2
23358,2
17268,2
3930,2
9822,1
17283,2
18352,2
2702,1
23701,2
19476,2
23828,2
5336,1
18245,1
12293,2
22547,1
3050,1
2325,1
9268,1
14669,2
6139,1
19860,2
17127,1
16810,1
12324,1
390,2
7805,1
9200,2
18117,1
23430,2
9683,1
8339,1
6124,1
21469,1
22155,2
12429,1
7283,2
24000,1
2511,2
8754,2
11565,1
14864,1
9427,2
12312,1
12345,1
1119,1
3251,2
67,1
2507,1
11872,1
11262,2
20633,2
14699,2
19531,1
11075,2
9358,1
20438,2
9730,1
15353,2
3429,2
12570,1
2012,2
17849,1
20979,1
19683,1
3987,2
3225,2
3877,2
16098,2
4845,1
20913,1
14902,2
14736,2
9014,1
19556,2
18408,2
2205,2
7047,1
5480,2
19734,1
9237,2
472,1
22381,2
1313,1
18012,1
17489,2
5727,2
22446,2
15981,2
6230,2
9301,2
1433,2
12223,2
8841,2
11070,2
3406,2
16482,1
10224,2
20161,2
13834,2
608,1
13093,1
11654,1
23906,2
8480,2
18820,2
12473,1
17069,2
1603,2
24125,2
23526,2
23944,2
19281,2
18885,2
10621,2
21550,1
5461,1
3171,2
580,2
15054,2
21223,2
15095,2
2083,2
15150,1
18320,1
16730,1
5146,1
21214,2
15889,1
19780,1
16511,2
16566,1
22738,2
10885,1
10240,2
476,2
3179,2
17851,1
10086,2
10089,2
5767,1
14717,2
12132,2
2778,1
34,1
8277,2
12291,1
9551,1
1453,1
20043,2
24630,2
14963,2
2374,2
2783,1
4072,1
5609,2
15670,2
7303,2
16884,2
7214,2
7516,1
24682,2
1919,1
6551,1
1734,1
209,2
3923,2
23472,2
10550,2
20149,2
23083,2
17144,1
24305,1
16476,1
6961,1
21036,2
13938,1
1397,2
17962,2
15214,1
13481,1
23530,2
19497,1
3173,1
232,2
4447,2
5425,1
21251,2
3961,2
21744,2
3950,2
24671,1
10508,2
10898,1
5319,1
20342,2
13973,1
8114,1
2937,1
5910,1
13301,1
8467,1
10301,2
19240,1
11007,2
17507,1
13055,1
18939,1
3610,2
7356,2
14376,2
14786,2
14062,2
8409,1
23955,1
6876,1
18861,1
13072,1
8783,1
22926,2
11280,1
253,2
15675,1
3883,2
12059,1
12620,2
15007,2
7117,2
1015,1
18758,2
15004,1
11246,2
4143,2
21998,2
14690,1
5570,1
5485,1
10391,1
2745,2
7649,1
24285,1
5983,1
4240,1
9944,1
10830,1
1385,1
10869,2
9939,2
21342,2
507,2
24020,1
13885,2
16059,2
1900,2
20706,2
18182,2
3608,2
9762,2
8052,1
10309,2
21377,1
10296,2
1086,1
19884,2
6193,2
14454,2
12945,2
10633,1
4440,2
12402,2
16305,1
11252,2
5352,1
19410,2
21824,2
14563,1
13580,1
15828,2
1211,1
6359,1
22107,2
12983,1
13830,1
3537,2
17518,2
11527,2
8265,2
2041,2
18921,1
22806,1
15619,1
20011,2
24380,2
20387,2
5422,1
7896,2
8489,2
10746,1
4503,1
19201,2
21464,1
15337,2
20130,2
11438,2
19562,2
5280,2
12333,2
3534,1
2056,1
17454,1
283,1
8533,2
4581,1
2267,1
19971,2
23145,1
3471,2
10900,2
10129,1
10146,1
